mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rms,centroid,bandwidth,rolloff,label
-263.25848,98.36196,-8.870479,12.757162,-5.431174,-12.904283,-11.930939,-13.955339,-13.12611,-6.025364,-10.341858,-7.8792114,-5.9124274,0.12736531047077923,0.05926851,1765.5253238202854,1593.4904697776185,3297.4837662337663,command
-256.73727,106.34388,-24.931528,9.185509,5.0826316,-14.801144,-11.917972,-8.879319,-10.443896,-3.9881587,-7.3503776,-14.012304,-7.493515,0.11616030092592593,0.07369792,1451.0177087917284,1304.3862095623067,2583.5069444444443,command
-247.59657,93.42657,9.311186,17.907585,-10.208019,-1.9349542,-14.189487,-13.412967,-6.5235868,-9.010747,-6.4034677,-8.369848,-7.583223,0.14786157852564102,0.0761096,1905.3278489515853,1515.7263721525771,3366.0857371794873,command
-212.36111,61.90994,2.0975792,41.30406,-15.943576,-5.467956,-19.780428,-22.132153,-16.262753,-10.010324,-7.0206876,-13.429858,-2.2569857,0.13376913265306123,0.07965745,2093.581372397963,1698.2199770567906,3885.3635204081634,command
-247.43593,119.67028,-28.640291,16.080017,-1.7715013,-15.430343,-20.355526,-13.408,-15.294536,-5.843662,-10.293864,-11.622802,-1.3044099,0.09831036261792453,0.073863104,1365.6211296815986,1291.2737165750398,2525.7959905660377,command
-228.8926,125.97986,-17.69991,-9.028088,-23.749783,-14.294691,-16.611675,-4.472323,-12.050113,-9.460759,-3.4464765,-12.1988535,-9.692859,0.12461529356060606,0.07403832,1515.158769878031,1383.5447747355383,2838.068181818182,command
-237.00029,107.11144,-11.237777,5.6007824,-18.563494,-24.254457,-13.387615,-23.139101,-13.040328,0.5901693,-11.725094,-7.8662615,-15.86612,0.12933904474431818,0.08659112,1589.4306571023087,1448.9970103488397,2855.4243607954545,command
-262.57278,87.04175,2.356012,31.805311,-12.19017,-9.273499,-17.422094,-18.79489,-8.595489,-8.952673,-8.357587,-8.432987,-7.708101,0.1247584292763158,0.06592596,1742.2767516267254,1590.4700958979188,3343.503289473684,command
-347.38953,69.16407,-6.1270137,27.96299,-3.1399434,-17.815056,-15.556202,-21.53362,-11.5068245,-6.347569,-22.475359,-10.34451,1.5896734,0.12652647148058252,0.03945772,1905.9541137882713,1810.4191429077287,3838.9714805825242,command
-259.07883,139.97243,-17.128532,-0.72149026,-18.568253,-17.657322,-21.168266,-6.6246924,-10.857094,-11.760896,-3.51726,-9.963993,-10.784907,0.09714557052752294,0.06634964,1264.8574887643776,1250.3660145517172,2394.5670871559632,command
-289.3668,86.790726,-2.1012688,23.297876,2.211183,-9.533912,-12.1096115,-7.9984603,-16.555155,-2.806818,-6.803963,-11.812251,-5.0899363,0.13715533088235293,0.053789906,1810.6489300619985,1571.1232128120635,3254.779411764706,command
-394.9184,88.18594,24.964386,15.63194,-11.353792,-2.7244756,-12.618925,-11.64796,-3.6984496,-5.08072,-3.944648,-11.128372,-8.959112,0.1541929853723404,0.020843051,1935.4651192610281,1553.9206333826562,3148.853058510638,command
-281.74332,115.19945,-3.2718635,6.178449,-6.6405363,-8.247423,-16.108664,-18.276045,-10.234889,-6.1447463,-7.1985087,-8.577818,-4.6916523,0.0926095622859589,0.07285193,1355.16259323966,1319.9070347321394,2415.2397260273974,command
-242.14017,101.714745,-26.930693,0.8752687,-37.050507,-25.780703,-17.88473,-17.968142,-13.505215,-10.312186,-11.907861,-14.261665,-8.585246,0.12785309436274508,0.06974772,1608.5653815664934,1466.7079702367953,3105.46875,command
-214.36285,79.8872,6.1629877,40.09396,-3.1232107,1.2411741,0.064894125,-3.9613574,-14.521964,-2.1461117,-7.140776,-1.0144182,-5.5136137,0.14782604870495494,0.055214886,2008.9107568725115,1751.3583590533156,3834.670608108108,command
-231.97923,111.07629,-18.216642,4.532219,-11.735759,-7.6831717,-18.3367,-14.473855,-10.596053,-13.025437,-10.517867,-4.651182,-9.735472,0.11392777054398148,0.073998794,1556.1021706664071,1436.5854737322516,2785.228587962963,command
-223.16629,81.773735,-4.975334,35.15312,-28.808968,-2.6857572,-19.956125,-11.073104,-19.325727,-4.9657173,-3.096307,-13.711884,-6.241366,0.1365605743838028,0.07220493,1953.4261192184583,1665.484955943887,3715.0088028169016,command
-254.68645,93.27489,-8.277746,28.200844,-3.0445435,-23.461922,-15.121136,-19.89617,-18.695171,-10.538515,-15.215652,-8.263037,-8.571153,0.09723663330078125,0.07187274,1551.5413444416151,1575.395924462779,3120.361328125,command
-180.92159,97.01688,-28.011248,6.95528,-22.418364,-6.3879685,-26.526442,-6.766737,-14.289058,-9.162484,-2.919606,-9.166412,-10.726961,0.15319661458333333,0.090810634,1798.0846816048022,1582.264946471456,3405.7291666666665,command
-377.0946,92.797935,10.988235,30.53599,-13.914848,-19.559359,-9.789738,-20.979935,-11.4646015,-6.6285324,-8.520805,-11.096143,-9.77932,0.1500577059659091,0.022960551,1802.6123093038816,1556.9456576537543,3234.848484848485,command
-233.59195,107.03685,0.5866981,34.773525,-4.533819,1.8447897,-1.9654015,-6.8912044,-6.891229,-3.6388865,-9.985884,2.037424,-3.9230344,0.10921785201149425,0.048353173,1603.8973995874226,1564.2879872557646,3025.1436781609195,command
-293.46674,79.417915,-7.741256,31.661528,-3.3458009,-16.466228,-9.917773,-12.13424,-14.04702,-8.063501,-12.666143,-16.337915,-6.193747,0.11363841869212964,0.07097047,1732.1291934489825,1636.559030690254,3252.6765046296296,command
-240.91325,85.82895,8.155422,0.9538821,-23.285223,-9.086655,-22.73441,-3.501269,-15.493232,-5.6823707,-5.4539323,-11.878649,-7.921497,0.18574945977393617,0.05505121,2139.597046777267,1714.8696759866598,3800.4488031914893,command
